날짜,카테고리,상품명,금액,고민기간,재구매의향,사용빈도
2024-01-15,전자제품,무선이어폰,89000,7,예,5
2024-01-20,의류,겨울코트,150000,14,아니오,2
2024-02-01,식비,배달음식,25000,0,아니오,1
2024-02-05,취미,보드게임,45000,3,예,4
2024-02-10,전자제품,스마트워치,280000,0,아니오,1
2024-02-15,의류,운동화,120000,30,예,5
2024-03-01,식비,커피,4500,0,아니오,3
2024-03-05,취미,책,18000,7,예,4
2024-03-10,전자제품,키보드,95000,5,예,5
2024-03-15,의류,티셔츠,35000,2,아니오,3
2024-03-20,식비,외식,65000,0,아니오,2
2024-04-01,전자제품,마우스,45000,1,아니오,4
2024-04-05,의류,청바지,89000,14,예,5
2024-04-10,취미,영화관람,15000,0,예,3
2024-04-15,식비,배달음식,28000,0,아니오,1
2024-05-01,전자제품,태블릿PC,890000,0,아니오,1
2024-05-05,의류,명품가방,520000,0,아니오,1
2024-05-10,취미,공연티켓,85000,14,예,5
2024-05-15,식비,카페,12000,0,아니오,2
2024-06-01,전자제품,케이블,18000,2,예,3
2024-06-05,의류,양말,15000,7,예,4
2024-06-10,취미,홈트레이닝기구,450000,0,아니오,1
2024-06-15,식비,배달음식,32000,0,아니오,1
2024-07-01,전자제품,충전기,35000,7,예,5
2024-07-05,의류,반팔티,42000,1,예,4
2024-07-10,취미,게임,60000,0,아니오,2
2024-07-15,식비,외식,78000,0,예,3
2024-08-01,전자제품,VR헤드셋,650000,0,아니오,1
2024-08-05,의류,세일코트,180000,0,아니오,1
2024-08-10,취미,미술용품,95000,0,아니오,1
